MSSV,MaMon,DiemHe10
SV00000,IT008,9.70
SV00000,IT004,6.80
SV00000,ENG02,9.80
SV00000,MATH05,2.70
SV00000,MATH03,3.40
SV00000,IT007,9.10
SV00001,IT004,8.50
SV00001,IT001,9.10
SV00001,MATH04,3.60
SV00001,IT010,8.20
SV00001,IT007,5.30
SV00002,PHY01,9.20
SV00002,IT003,5.10
SV00002,IT007,6.30
SV00002,MATH01,8.50
SV00002,PHY02,5.50
SV00002,MATH03,2.70
SV00003,MATH01,3.50
SV00003,ENG01,2.20
SV00003,IT002,2.40
SV00003,IT009,2.50
SV00003,MATH03,5.00
SV00004,MATH03,6.60
SV00004,IT002,4.70
SV00004,IT001,8.50
SV00004,IT004,6.60
SV00004,PHY02,9.40
SV00004,ENG01,6.60
SV00005,MATH02,9.10
SV00005,IT010,5.70
SV00005,PHY01,5.20
SV00005,IT007,7.20
SV00005,MATH03,8.70
SV00006,ENG02,2.40
SV00006,ENG01,6.40
SV00006,IT004,3.40
SV00006,IT007,7.50
SV00006,IT008,2.20
SV00006,IT009,4.70
SV00006,MATH04,9.10
SV00006,IT001,5.40
SV00006,IT005,6.90
SV00006,IT006,4.10
SV00007,IT009,9.70
SV00007,IT007,8.00
SV00007,MATH04,5.00
SV00007,PHY01,2.40
SV00007,MATH02,3.60
SV00007,PHY02,5.40
SV00007,MATH01,8.30
SV00008,MATH02,7.50
SV00008,PHY02,8.90
SV00008,IT010,9.30
SV00008,IT004,2.90
SV00008,IT005,2.00
SV00008,IT009,3.10
SV00008,IT007,4.30
SV00008,MATH01,2.10
SV00008,MATH04,8.60
SV00008,ENG02,3.80
SV00009,IT005,2.10
SV00009,IT008,4.90
SV00009,IT009,7.90
SV00009,IT006,6.40
SV00009,IT010,5.00
SV00009,ENG02,3.00
SV00009,ENG03,7.30
SV00010,IT002,8.40
SV00010,ENG02,5.80
SV00010,MATH02,2.00
SV00010,ENG03,5.80
SV00010,IT003,5.20
SV00010,IT004,5.30
SV00011,IT005,3.90
SV00011,PHY02,9.30
SV00011,IT009,4.20
SV00011,ENG01,3.30
SV00011,IT002,2.50
SV00011,ENG03,7.60
SV00011,MATH01,8.50
SV00012,ENG02,5.90
SV00012,ENG03,6.20
SV00012,IT001,7.20
SV00012,MATH05,5.00
SV00012,IT009,4.70
SV00012,MATH03,9.40
SV00012,IT010,3.20
SV00012,IT006,5.90
SV00012,MATH01,3.50
SV00012,MATH02,6.10
SV00013,IT008,2.90
SV00013,ENG01,3.00
SV00013,IT002,8.00
SV00013,MATH01,8.80
SV00013,PHY02,5.50
SV00013,MATH05,6.60
SV00013,IT009,6.20
SV00013,MATH04,7.80
SV00013,IT007,9.70
SV00013,IT004,9.80
SV00014,PHY01,2.30
SV00014,ENG02,4.20
SV00014,IT003,8.80
SV00014,IT006,5.80
SV00014,IT007,4.40
SV00014,ENG03,6.20
SV00014,MATH02,8.40
SV00014,ENG01,9.20
SV00014,IT009,2.40
SV00015,PHY02,2.50
SV00015,IT001,5.40
SV00015,MATH01,4.60
SV00015,IT005,2.40
SV00015,ENG01,3.60
SV00015,MATH03,6.10
SV00015,IT006,3.10
SV00016,IT004,8.70
SV00016,ENG01,9.20
SV00016,IT010,4.70
SV00016,IT003,9.70
SV00016,IT009,7.00
SV00016,IT002,3.70
SV00016,ENG03,3.60
SV00016,PHY01,6.30
SV00016,MATH05,6.10
SV00016,PHY02,8.70
SV00017,IT002,3.60
SV00017,IT005,6.50
SV00017,ENG01,9.00
SV00017,MATH03,3.10
SV00017,PHY02,6.50
SV00018,PHY02,7.30
SV00018,IT006,2.50
SV00018,IT001,3.30
SV00018,MATH02,9.70
SV00018,IT009,5.80
SV00019,IT007,4.40
SV00019,IT002,3.80
SV00019,IT009,6.80
SV00019,ENG01,9.50
SV00019,MATH01,4.40
SV00020,MATH05,7.70
SV00020,IT006,2.60
SV00020,ENG02,5.30
SV00020,IT003,8.30
SV00020,IT002,9.20
SV00020,PHY01,9.50
SV00020,IT005,8.00
SV00020,IT004,7.20
SV00021,IT005,6.10
SV00021,IT006,9.20
SV00021,IT009,7.30
